,Median_HHI,NAME,state_code,county_code
Value,43146,"Garland County, Arkansas",05,051
Value,51920,"Grant County, Arkansas",05,053
Value,47497,"Greene County, Arkansas",05,055
Value,41355,"Hempstead County, Arkansas",05,057
Value,41262,"Hot Spring County, Arkansas",05,059
Value,35900,"Howard County, Arkansas",05,061
Value,43523,"Independence County, Arkansas",05,063
Value,40218,"Izard County, Arkansas",05,065
Value,33174,"Jackson County, Arkansas",05,067
Value,38289,"Jefferson County, Arkansas",05,069
Value,37170,"Johnson County, Arkansas",05,071
Value,32412,"Lafayette County, Arkansas",05,073
Value,38528,"Lawrence County, Arkansas",05,075
Value,28367,"Lee County, Arkansas",05,077
Value,45166,"Lincoln County, Arkansas",05,079
Value,45388,"Little River County, Arkansas",05,081
Value,39748,"Logan County, Arkansas",05,083
Value,57509,"Lonoke County, Arkansas",05,085
Value,43891,"Madison County, Arkansas",05,087
Value,35518,"Marion County, Arkansas",05,089
Value,41903,"Miller County, Arkansas",05,091
Value,37237,"Mississippi County, Arkansas",05,093
Value,35190,"Monroe County, Arkansas",05,095
Value,37855,"Montgomery County, Arkansas",05,097
Value,37635,"Nevada County, Arkansas",05,099
Value,39896,"Newton County, Arkansas",05,101
Value,34887,"Ouachita County, Arkansas",05,103
Value,46071,"Perry County, Arkansas",05,105
Value,29263,"Phillips County, Arkansas",05,107
Value,37406,"Pike County, Arkansas",05,109
Value,39277,"Poinsett County, Arkansas",05,111
Value,37035,"Polk County, Arkansas",05,113
Value,41914,"Pope County, Arkansas",05,115
Value,41846,"Prairie County, Arkansas",05,117
Value,50093,"Pulaski County, Arkansas",05,119
Value,36870,"Randolph County, Arkansas",05,121
Value,35356,"St. Francis County, Arkansas",05,123
Value,62152,"Saline County, Arkansas",05,125
Value,35509,"Scott County, Arkansas",05,127
Value,36390,"Searcy County, Arkansas",05,129
Value,43240,"Sebastian County, Arkansas",05,131
Value,46667,"Sevier County, Arkansas",05,133
Value,33708,"Sharp County, Arkansas",05,135
Value,36162,"Stone County, Arkansas",05,137
Value,44000,"Union County, Arkansas",05,139
Value,36897,"Van Buren County, Arkansas",05,141
Value,49629,"Washington County, Arkansas",05,143
Value,43822,"White County, Arkansas",05,145
Value,31023,"Woodruff County, Arkansas",05,147
Value,42361,"Yell County, Arkansas",05,149
Value,92574,"Alameda County, California",06,001
Value,64688,"Alpine County, California",06,003
Value,61198,"Amador County, California",06,005
Value,48443,"Butte County, California",06,007
Value,58151,"Calaveras County, California",06,009
Value,56704,"Colusa County, California",06,011
Value,93712,"Contra Costa County, California",06,013
Value,45258,"Del Norte County, California",06,015
Value,80582,"El Dorado County, California",06,017
Value,51261,"Fresno County, California",06,019
Value,47395,"Glenn County, California",06,021
Value,45528,"Humboldt County, California",06,023
Value,45834,"Imperial County, California",06,025
Value,52874,"Inyo County, California",06,027
Value,52479,"Kern County, California",06,029
Value,53865,"Kings County, California",06,031
Value,42475,"Lake County, California",06,033
Value,56362,"Lassen County, California",06,035
Value,64251,"Los Angeles County, California",06,037
Value,52884,"Madera County, California",06,039
Value,110217,"Marin County, California",06,041
Value,51199,"Mariposa County, California",06,043
Value,49233,"Mendocino County, California",06,045
Value,50129,"Merced County, California",06,047
Value,45149,"Modoc County, California",06,049
Value,63018,"Mono County, California",06,051
Value,66676,"Monterey County, California",06,053
Value,84753,"Napa County, California",06,055
Value,63240,"Nevada County, California",06,057
Value,85398,"Orange County, California",06,059
Value,84357,"Placer County, California",06,061
Value,53270,"Plumas County, California",06,063
Value,63948,"Riverside County, California",06,065
Value,63902,"Sacramento County, California",06,067
Value,81977,"San Benito County, California",06,069
Value,60164,"San Bernardino County, California",06,071
Value,74855,"San Diego County, California",06,073
Value,104552,"San Francisco County, California",06,075
Value,61145,"San Joaquin County, California",06,077
Value,70699,"San Luis Obispo County, California",06,079
Value,113776,"San Mateo County, California",06,081
Value,71657,"Santa Barbara County, California",06,083
Value,116178,"Santa Clara County, California",06,085
Value,78041,"Santa Cruz County, California",06,087
Value,50905,"Shasta County, California",06,089
Value,48125,"Sierra County, California",06,091
Value,44200,"Siskiyou County, California",06,093
Value,77609,"Solano County, California",06,095
Value,76753,"Sonoma County, California",06,097
Value,57387,"Stanislaus County, California",06,099
Value,56955,"Sutter County, California",06,101
Value,42899,"Tehama County, California",06,103
Value,38497,"Trinity County, California",06,105
Value,47518,"Tulare County, California",06,107
Value,56493,"Tuolumne County, California",06,109
Value,84017,"Ventura County, California",06,111
Value,65923,"Yolo County, California",06,113
Value,52624,"Yuba County, California",06,115
Value,67575,"Adams County, Colorado",08,001
Value,39191,"Alamosa County, Colorado",08,003
Value,73925,"Arapahoe County, Colorado",08,005
Value,50753,"Archuleta County, Colorado",08,007
Value,37500,"Baca County, Colorado",08,009
Value,34392,"Bent County, Colorado",08,011
Value,78642,"Boulder County, Colorado",08,013
Value,89624,"Broomfield County, Colorado",08,014
Value,54580,"Chaffee County, Colorado",08,015
Value,55227,"Cheyenne County, Colorado",08,017
Value,69936,"Clear Creek County, Colorado",08,019
Value,34746,"Conejos County, Colorado",08,021
Value,30593,"Costilla County, Colorado",08,023
Value,37586,"Crowley County, Colorado",08,025
Value,44644,"Custer County, Colorado",08,027
Value,44512,"Delta County, Colorado",08,029
Value,63793,"Denver County, Colorado",08,031
Value,41714,"Dolores County, Colorado",08,033
Value,115314,"Douglas County, Colorado",08,035
Value,84685,"Eagle County, Colorado",08,037
Value,96658,"Elbert County, Colorado",08,039
Value,65334,"El Paso County, Colorado",08,041
Value,46296,"Fremont County, Colorado",08,043
Value,72898,"Garfield County, Colorado",08,045
Value,75120,"Gilpin County, Colorado",08,047
Value,70469,"Grand County, Colorado",08,049
Value,54979,"Gunnison County, Colorado",08,051
Value,52188,"Hinsdale County, Colorado",08,053
Value,36705,"Huerfano County, Colorado",08,055
Value,48828,"Jackson County, Colorado",08,057
Value,78943,"Jefferson County, Colorado",08,059
Value,39784,"Kiowa County, Colorado",08,061
Value,51046,"Kit Carson County, Colorado",08,063
Value,46918,"Lake County, Colorado",08,065
Value,64372,"La Plata County, Colorado",08,067
Value,67664,"Larimer County, Colorado",08,069
Value,41945,"Las Animas County, Colorado",08,071
Value,49423,"Lincoln County, Colorado",08,073
Value,48922,"Logan County, Colorado",08,075
Value,53683,"Mesa County, Colorado",08,077
Value,61058,"Mineral County, Colorado",08,079
Value,52807,"Moffat County, Colorado",08,081
Value,46797,"Montezuma County, Colorado",08,083
Value,48739,"Montrose County, Colorado",08,085
Value,51626,"Morgan County, Colorado",08,087
Value,34136,"Otero County, Colorado",08,089
Value,62230,"Ouray County, Colorado",08,091
Value,66861,"Park County, Colorado",08,093
Value,50724,"Phillips County, Colorado",08,095
Value,71244,"Pitkin County, Colorado",08,097
Value,40097,"Prowers County, Colorado",08,099
Value,44634,"Pueblo County, Colorado",08,101
Value,55543,"Rio Blanco County, Colorado",08,103
Value,38639,"Rio Grande County, Colorado",08,105
Value,74273,"Routt County, Colorado",08,107
Value,34410,"Saguache County, Colorado",08,109
Value,46563,"San Juan County, Colorado",08,111
Value,64478,"San Miguel County, Colorado",08,113
Value,45188,"Sedgwick County, Colorado",08,115
Value,77589,"Summit County, Colorado",08,117
Value,65382,"Teller County, Colorado",08,119
Value,49375,"Washington County, Colorado",08,121
Value,70908,"Weld County, Colorado",08,123
Value,48394,"Yuma County, Colorado",08,125
Value,92969,"Fairfield County, Connecticut",09,001
Value,72321,"Hartford County, Connecticut",09,003
Value,78314,"Litchfield County, Connecticut",09,005
Value,84761,"Middlesex County, Connecticut",09,007
Value,67128,"New Haven County, Connecticut",09,009
Value,71368,"New London County, Connecticut",09,011
Value,84916,"Tolland County, Connecticut",09,013
Value,64774,"Windham County, Connecticut",09,015
Value,58775,"Kent County, Delaware",10,001
Value,70996,"New Castle County, Delaware",10,003
Value,60853,"Sussex County, Delaware",10,005
Value,82604,"District of Columbia, District of Columbia",11,001
Value,49078,"Alachua County, Florida",12,001
Value,61769,"Baker County, Florida",12,003
Value,51829,"Bay County, Florida",12,005
Value,46197,"Bradford County, Florida",12,007
Value,54359,"Brevard County, Florida",12,009
Value,57333,"Broward County, Florida",12,011
Value,38609,"Calhoun County, Florida",12,013
Value,49225,"Charlotte County, Florida",12,015
Value,41424,"Citrus County, Florida",12,017
Value,62653,"Clay County, Florida",12,019
Value,65675,"Collier County, Florida",12,021
Value,44491,"Columbia County, Florida",12,023
Value,35057,"DeSoto County, Florida",12,027
Value,38237,"Dixie County, Florida",12,029
Value,53473,"Duval County, Florida",12,031
Value,49286,"Escambia County, Florida",12,033
Value,53872,"Flagler County, Florida",12,035
Value,42855,"Franklin County, Florida",12,037
Value,40922,"Gadsden County, Florida",12,039
Value,42357,"Gilchrist County, Florida",12,041
