Diversity-Index,BLK_Percent,Amrican_indian/Alk_native_Percent,Asian_percent,Hawaiian/Pacific_Islander_Percent,Two_or_more_percent,His/Latino_Percent,white_percent,County,Code,Year,State
0.5280560000000001,32.0,0.5,1.0,0.1,1.2,5.7,60.5,Greenwood County,SC,2013,South Carolina
0.527825,1.2,2.7,1.8,0.6,2.1,57.5,37.4,Colusa County,CA,2013,California
0.527814,4.0,1.4,6.5,0.2,1.4,25.3,63.4,Nobles County,MN,2013,Minnesota
0.5277470000000001,1.9,21.1,0.6,0.1,9.3,3.7,64.6,Sequoyah County,OK,2013,Oklahoma
0.527666,45.7,1.1,0.3,0.1,0.8,1.1,51.3,Winston County,MS,2013,Mississippi
0.52761,22.0,1.6,2.6,0.1,2.0,8.9,64.4,NORTH CAROLINA,,2013,
0.527542,1.8,2.0,1.1,0.2,2.3,39.4,56.2,Grant County,WA,2013,Washington
0.527412,1.3,3.1,3.4,0.4,3.3,57.9,36.6,San Benito County,CA,2013,California
0.5273100000000001,0.3,35.6,0.7,0.0,3.0,4.0,58.6,Rosebud County,MT,2013,Montana
0.527184,36.9,0.5,0.8,0.0,1.3,3.4,57.9,Thomas County,GA,2013,Georgia
0.527085,6.0,2.4,0.5,0.0,1.7,32.0,60.5,Collingsworth County,TX,2013,Texas
0.527048,6.0,1.1,0.2,0.1,2.1,32.8,60.1,Knox County,TX,2013,Texas
0.5267569999999999,35.6,0.4,0.4,0.0,1.5,4.1,58.7,Jefferson County,FL,2013,Florida
0.5265340000000001,3.2,19.9,0.6,0.2,9.0,3.0,65.1,Craig County,OK,2013,Oklahoma
0.5262479999999999,55.6,0.4,0.9,0.1,1.3,1.8,40.5,Jefferson County,AR,2013,Arkansas
0.52618,57.7,0.6,0.2,0.1,1.1,4.0,37.3,Edgecombe County,NC,2013,North Carolina
0.526149,0.1,54.0,0.3,0.0,2.1,1.8,42.6,Benson County,ND,2013,North Dakota
0.526125,65.1,1.0,4.5,0.2,2.6,16.2,14.5,Prince George's County,MD,2013,Maryland
0.526081,49.6,0.3,0.3,0.0,1.0,1.6,47.7,Panola County,MS,2013,Mississippi
0.526027,40.1,0.4,0.5,0.0,1.7,1.9,55.9,Ouachita County,AR,2013,Arkansas
0.525935,32.2,3.5,0.3,0.1,1.6,2.1,60.7,Escambia County,AL,2013,Alabama
0.525894,1.6,5.4,0.8,0.1,2.2,59.1,34.8,Valencia County,NM,2013,New Mexico
0.525809,44.4,0.4,0.5,0.0,1.3,1.3,52.6,East Feliciana Parish,LA,2013,Louisiana
0.52578,2.1,0.9,1.1,0.1,1.4,55.4,40.8,San Patricio County,TX,2013,Texas
0.525778,46.0,0.4,0.2,0.0,1.3,1.7,51.2,Conecuh County,AL,2013,Alabama
0.52574,33.3,0.4,1.0,0.1,1.7,4.2,60.1,Spalding County,GA,2013,Georgia
0.5256069999999999,3.9,1.3,0.3,0.0,0.6,55.7,40.3,Floyd County,TX,2013,Texas
0.525554,43.7,0.4,0.2,0.0,1.2,1.7,53.2,Walthall County,MS,2013,Mississippi
0.525251,25.1,0.7,2.2,0.1,3.3,6.6,63.7,Kent County,DE,2013,Delaware
0.525213,49.4,0.2,0.3,0.0,0.7,1.7,48.0,St. James Parish,LA,2013,Louisiana
0.52487,58.6,0.2,0.8,0.0,1.6,3.3,36.1,Taliaferro County,GA,2013,Georgia
0.524716,59.7,1.8,0.7,0.0,1.3,3.7,34.2,Hertford County,NC,2013,North Carolina
0.524687,0.8,2.2,1.3,0.0,2.4,42.2,54.4,Clark County,ID,2013,Idaho
0.524634,21.5,0.8,2.3,0.1,2.3,9.7,64.7,St. Bernard Parish,LA,2013,Louisiana
0.524584,2.7,0.5,7.7,0.8,1.1,24.8,63.8,Buena Vista County,IA,2013,Iowa
0.524418,38.1,1.1,0.2,0.0,1.2,2.6,57.4,De Soto Parish,LA,2013,Louisiana
0.524324,59.9,0.4,1.6,0.1,0.9,4.0,33.9,Macon County,GA,2013,Georgia
0.5237649999999999,35.7,0.2,0.6,0.0,1.2,4.1,58.9,Wilcox County,GA,2013,Georgia
0.523422,49.2,0.2,0.3,0.1,1.0,1.2,48.4,McCormick County,SC,2013,South Carolina
0.52337,43.6,0.4,1.0,0.0,0.7,1.2,53.5,Butler County,AL,2013,Alabama
0.5233140000000001,0.9,12.7,1.5,0.1,3.1,20.8,64.5,Inyo County,CA,2013,California
0.523297,42.2,0.3,0.3,0.0,1.4,1.7,54.6,Bienville Parish,LA,2013,Louisiana
0.5232220000000001,47.8,0.2,0.4,0.1,1.0,1.3,49.8,Morehouse Parish,LA,2013,Louisiana
0.523098,1.8,0.6,0.4,0.0,1.7,50.9,46.6,Schleicher County,TX,2013,Texas
0.5229020000000001,0.8,3.0,1.0,0.0,2.5,38.5,57.2,Saguache County,CO,2013,Colorado
0.522881,4.6,16.5,2.4,0.2,4.1,10.6,65.9,Mineral County,NV,2013,Nevada
0.522788,34.5,0.5,0.6,0.0,1.4,3.9,59.7,Mississippi County,AR,2013,Arkansas
0.522787,11.6,0.4,5.1,0.1,1.7,16.3,65.9,Will County,IL,2013,Illinois
0.522781,17.6,1.0,0.6,0.1,1.6,15.7,64.9,Rusk County,TX,2013,Texas
0.522646,52.4,0.3,0.6,0.0,0.8,1.3,45.0,Pike County,MS,2013,Mississippi
0.522544,34.1,0.4,0.7,0.0,1.0,4.7,59.9,Emanuel County,GA,2013,Georgia
0.522405,11.2,1.1,0.5,0.2,1.4,23.2,64.1,Lee County,TX,2013,Texas
0.522266,42.2,0.4,0.5,0.0,1.2,1.6,54.7,Screven County,GA,2013,Georgia
0.522181,38.1,0.4,0.4,0.0,1.5,2.5,57.6,Wilkinson County,GA,2013,Georgia
0.522061,0.9,1.5,0.7,0.0,1.2,51.2,46.4,Ochiltree County,TX,2013,Texas
0.5220600000000001,1.2,3.4,0.9,0.2,2.7,41.5,55.1,Otero County,CO,2013,Colorado
0.5220239999999999,4.3,1.4,1.5,0.2,1.5,32.9,60.6,Whitfield County,GA,2013,Georgia
0.5220130000000001,47.4,0.3,0.2,0.0,0.8,1.5,50.3,Quitman County,GA,2013,Georgia
0.5220060000000001,41.3,0.4,0.5,0.0,1.2,1.8,55.4,St. Landry Parish,LA,2013,Louisiana
0.521992,41.3,0.4,0.5,0.0,1.1,1.9,55.4,Darlington County,SC,2013,South Carolina
0.521663,2.6,2.1,5.7,0.7,3.2,23.3,64.7,Washoe County,NV,2013,Nevada
0.52163,53.0,0.4,0.1,0.0,1.1,1.4,44.4,St. Helena Parish,LA,2013,Louisiana
